FOODID	ORIGFDNM	ENGFDNAM	LANGUALCODES	REMARKS
13-872	Mixed spices	Mixed spices		
13-282	Mixed vegetables, canned, re-heated, drained	Mixed vegetables, canned, re-heated, drained		
13-281	Mixed vegetables, frozen, boiled in salted water	Mixed vegetables, frozen, boiled in salted water	A0705 A0826 B1579 C0174 E0104 F0014 G0015 H0241 J0136 K0003 M0001 N0001 P0024	
13-283	Mixed vegetables, stir-fry type, frozen, fried in blended oil	Mixed vegetables, stir-fry type, frozen, fried in blended oil		
17-059	Molasses	Molasses		
16-093	Monkfish, grilled	Monkfish, grilled		
16-094	Monkfish, grilled, weighed with bones	Monkfish, grilled, weighed with bones		
16-092	Monkfish, raw	Monkfish, raw		
11-122	Morning rolls	Morning rolls		
19-107	Mortadella	Mortadella	A0714 A0798 B1136 C0268 E0147 F0014 G0001 H0227 H0253 H0262 J0001 K0003 M0001 N0001 P0024	
19-412	Moussaka	Moussaka		
19-248	Moussaka, chilled/frozen/longlife, reheated	Moussaka, chilled/frozen/longlife, reheated	A0714 A0799 B1669 C0267 E0134 F0014 G0037 H0151 H0212 H0241 J0142 K0003 M0001 N0001 P0024 Z0112	
15-542	Moussaka, vegetable	Moussaka, vegetable		
15-206	Moussaka, vegetable, retail	Moussaka, vegetable, retail	A0705 A0828 B1458 C0167 E0144 F0014 G0001 H0212 H0227 H0242 J0001 K0003 M0001 N0001 P0024 R0001 Z0112	
12-400	Mousse, chocolate	Mousse, chocolate	A0721 A0864 B1201 C0113 E0144 F0001 G0003 H0136 H0231 J0142 K0003 M0001 N0001 P0024 R0001	
12-401	Mousse, chocolate, low fat	Mousse, chocolate, low fat	A0721 A0864 B1201 C0113 E0144 F0001 G0003 H0136 H0165 H0231 H0324 J0142 K0003 M0001 N0001 P0024 P0039 R0001	
12-402	Mousse, fruit	Mousse, fruit	A0721 A0864 B1201 C0113 E0144 F0001 G0003 H0136 H0147 J0142 K0003 M0001 N0001 P0024 R0001	
12-914	Mousse, reduced fat	Mousse, reduced fat		
11-369	Muesli	Muesli		
11-494	Muesli, swiss style	Muesli, swiss style	A0692 A0816 B1219 C0155 E0104 F0014 G0003 H0136 H0138 H0239 H0319 H0364 J0116 K0003 M0155 N0001 P0024 R0001	
11-138	Muesli, with extra fruit	Muesli, with extra fruit		
11-495	Muesli, with no added sugar	Muesli, with no added sugar	A0692 A0816 B1219 C0155 E0104 F0014 G0003 H0138 H0239 H0319 H0364 J0116 K0003 M0155 N0001 P0024 R0001	
11-608	Muffins, American style, chocolate chip	Muffins, American style, chocolate chip	A0695 A0821 B1312 C0132 E0105 F0014 G0003 H0158 H0184 H0186 H0231 H0259 H0351 J0003 K0003 M0001 N0001 P0024 R0001	
11-667	Muffins, bran	Muffins, bran		
11-541	Muffins, English style, white	Muffins, English style, white	A0691 A0821 B1312 C0132 E0105 F0014 G0003 H0200 H0259 H0320 H0753 J0100 K0003 M0001 N0001 P0024 R0001	
11-542	Muffins, English style, white, toasted	Muffins, English style, white, toasted	A0691 A0821 B1312 C0132 E0105 F0014 G0010 H0200 H0259 H0320 H0753 J0100 K0003 M0001 N0001 P0024 R0001	
14-168	Mulberries, raw	Mulberries, raw		
14-169	Mulberries, stewed with sugar	Mulberries, stewed with sugar		
14-170	Mulberries, stewed without sugar	Mulberries, stewed without sugar		
17-596	Mulled wine, homemade	Mulled wine, homemade		
16-096	Mullet, Grey, grilled	Mullet, Grey, grilled		
16-097	Mullet, Grey, grilled, weighed with bones and skin	Mullet, Grey, grilled, weighed with bones and skin		
16-095	Mullet, Grey, raw	Mullet, Grey, raw	A0717 A0802 B1783 C0268 E0122 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024 Z0061	
16-099	Mullet, Red, grilled	Mullet, Red, grilled		
16-100	Mullet, Red, grilled, weighed with bones and skin	Mullet, Red, grilled, weighed with bones and skin		
16-098	Mullet, Red, raw	Mullet, Red, raw	A0717 A0802 B2567 C0268 E0122 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024 Z0061	
17-603	Mulligatawny soup	Mulligatawny soup		
11-502	Multi-Grain Start	Multi-Grain Start	A0692 A0816 B1324 C0155 E0147 F0014 G0003 H0136 H0138 H0181 H0194 H0214 H0216 H0274 H0309 H0310 H0311 H0367 H0754 J0116 K0003 M0155 N0001 P0024 R0001	
13-099	Mung beans, dahl, dried, boiled in unsalted water	Mung beans, dahl, dried, boiled in unsalted water		
13-098	Mung beans, dahl, dried, raw	Mung beans, dahl, dried, raw		
13-097	Mung beans, whole, dried, boiled in unsalted water	Mung beans, whole, dried, boiled in unsalted water	A0704 A0831 B1395 C0133 E0150 F0014 G0015 H0148 H0259 J0116 K0003 M0001 N0001 P0024 P0078	
13-096	Mung beans, whole, dried, raw	Mung beans, whole, dried, raw	A0704 A0831 B1395 C0133 E0150 F0001 G0003 H0138 J0116 K0003 M0001 N0001 P0024	
15-207	Mushroom Dopiaza, retail	Mushroom Dopiaza, retail		
17-270	Mushroom soup, cream of, canned	Mushroom soup, cream of, canned	A0722 A0865 B1467 C0247 E0130 F0014 G0003 H0117 H0148 H0150 H0152 H0263 H0297 J0123 K0003 M0204 N0001 P0024	
17-416	Mushroom, dried	Mushroom, dried		
13-288	Mushrooms, Chinese, dried, raw	Mushrooms, Chinese, dried, raw		
13-285	Mushrooms, common, boiled in salted water	Mushrooms, common, boiled in salted water	A0705 A0826 B2023 C0144 E0137 F0014 G0015 H0003 J0001 K0003 M0001 N0001 P0024	
13-287	Mushrooms, common, canned, re-heated, drained	Mushrooms, common, canned, re-heated, drained		
50-785	Mushrooms, common, fried in blended oil	Mushrooms, common, fried in blended oil	A0705 A0826 B2023 C0144 E0137 F0014 G0026 H0334 H0335 J0001 K0003 M0001 N0001 P0024	
13-416	Mushrooms, common, fried in butter	Mushrooms, common, fried in butter	A0705 A0826 B2023 C0144 E0137 F0014 G0026 H0335 J0001 K0003 M0001 N0001 P0024	
13-286	Mushrooms, common, fried in corn oil	Mushrooms, common, fried in corn oil	A0705 A0826 B2023 C0144 E0137 F0014 G0026 H0334 J0001 K0003 M0001 N0001 P0024	
13-284	Mushrooms, common, raw	Mushrooms, common, raw	A0705 A0826 B2023 C0144 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
13-289	Mushrooms, Jew's ear, tender, dried, raw	Mushrooms, Jew's ear, tender, dried, raw		
13-290	Mushrooms, Jew's ear, tender, dried, soaked, raw	Mushrooms, Jew's ear, tender, dried, soaked, raw		
13-291	Mushrooms, Jew's ear, tough, dried, raw	Mushrooms, Jew's ear, tough, dried, raw		
13-292	Mushrooms, Jew's ear, tough, dried, soaked, raw	Mushrooms, Jew's ear, tough, dried, soaked, raw		
13-293	Mushrooms, oyster, raw	Mushrooms, oyster, raw		
13-295	Mushrooms, shiitake, cooked	Mushrooms, shiitake, cooked		
13-294	Mushrooms, shiitake, dried, raw	Mushrooms, shiitake, dried, raw		
13-296	Mushrooms, straw, canned, drained	Mushrooms, straw, canned, drained		
13-437	Mushy peas, canned, re-heated	Mushy peas, canned, re-heated	A0705 A0827 B1338 C0133 E0134 F0014 G0037 H0150 J0123 K0001 M0204 N0001 P0024	
16-256	Mussels, boiled	Mussels, boiled	A0717 A0802 B2875 C0125 E0150 F0014 G0015 H0241 J0136 K0003 M0001 N0001 P0024	
16-257	Mussels, boiled, weighed with shells	Mussels, boiled, weighed with shells	A0717 A0802 B2875 C0125 E0150 F0014 G0015 H0241 J0136 K0003 M0001 N0001 P0024	
16-258	Mussels, canned and bottled, drained	Mussels, canned and bottled, drained		
16-255	Mussels, raw	Mussels, raw		
13-297	Mustard and cress, raw	Mustard and cress, raw	A0705 A0826 B1179 C0144 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
13-299	Mustard leaves, boiled in unsalted water	Mustard leaves, boiled in unsalted water		
13-298	Mustard leaves, raw	Mustard leaves, raw		
17-362	Mustard powder	Mustard powder	A0722 A0858 B2069 C0155 E0106 F0001 G0003 H0138 J0116 K0003 M0001 N0001 P0024	
13-839	Mustard seeds	Mustard seeds		
17-363	Mustard, powder, made up	Mustard, powder, made up		
17-364	Mustard, smooth	Mustard, smooth	A0722 A0858 B2069 C0155 E0119 F0001 G0003 H0151 H0158 J0001 K0003 M0001 N0001 P0024	
17-365	Mustard, wholegrain	Mustard, wholegrain	A0722 A0858 B2069 C0155 E0119 F0001 G0003 H0001 J0001 K0003 M0001 N0001 P0024	
14-297	Nectarines	Nectarines	A0707 A0833 B1436 C0139 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
14-310	Nectarines, weighed with stones	Nectarines, weighed with stones	A0707 A0833 B1436 C0139 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
13-001	New potatoes, average, raw	New potatoes, average, raw	A0706 A0829 B1218 C0240 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
13-002	New potatoes, boiled in salted water	New potatoes, boiled in salted water	A0706 A0829 B1218 C0240 E0150 F0014 G0015 H0003 J0001 K0003 M0001 N0001 P0024	
13-003	New potatoes, boiled in unsalted water	New potatoes, boiled in unsalted water	A0706 A0829 B1218 C0240 E0150 F0014 G0015 H0003 J0001 K0003 M0001 N0001 P0024	
13-007	New potatoes, canned, re-heated, drained	New potatoes, canned, re-heated, drained	A0706 A0829 B1218 C0308 E0150 F0014 G0037 H0003 J0123 K0001 M0204 N0001 P0024 Z0219	
13-008	New potatoes, chipped, fried in corn oil	New potatoes, chipped, fried in corn oil		
13-006	New potatoes, frozen, `roast' in corn oil	New potatoes, frozen, `roast' in corn oil		
13-475	New potatoes, in skins, boiled in salted water	New potatoes, in skins, boiled in salted water	A0706 A0829 B1218 C0239 E0150 F0014 G0015 H0003 J0001 K0003 M0001 N0001 P0024	
13-420	New potatoes, in skins, boiled in unsalted water	New potatoes, in skins, boiled in unsalted water	A0706 A0829 B1218 C0239 E0150 F0014 G0015 H0003 J0001 K0003 M0001 N0001 P0024 P0078	
18-188	New Zealand lamb, leg, whole, chilled, roasted, lean	New Zealand lamb, leg, whole, chilled, roasted, lean		
18-189	New Zealand lamb, leg, whole, chilled, roasted, lean and fat	New Zealand lamb, leg, whole, chilled, roasted, lean and fat		
18-190	New Zealand lamb, leg, whole, frozen, raw, lean and fat, weighed with bone	New Zealand lamb, leg, whole, frozen, raw, lean and fat, weighed with bone		
18-191	New Zealand lamb, leg, whole, frozen, roasted, lean	New Zealand lamb, leg, whole, frozen, roasted, lean		
18-192	New Zealand lamb, leg, whole, frozen, roasted, lean and fat	New Zealand lamb, leg, whole, frozen, roasted, lean and fat		
18-193	New Zealand lamb, leg, whole, frozen, roasted, lean and fat, weighed with bone	New Zealand lamb, leg, whole, frozen, roasted, lean and fat, weighed with bone		
18-194	New Zealand lamb, loin chops, frozen, grilled, lean	New Zealand lamb, loin chops, frozen, grilled, lean		
18-196	New Zealand lamb, loin chops, frozen, grilled, lean and fat	New Zealand lamb, loin chops, frozen, grilled, lean and fat		
18-197	New Zealand lamb, loin chops, frozen, grilled, lean and fat, weighed with bone	New Zealand lamb, loin chops, frozen, grilled, lean and fat, weighed with bone		
18-195	New Zealand lamb, loin chops, frozen, grilled, lean, weighed with fat and bone	New Zealand lamb, loin chops, frozen, grilled, lean, weighed with fat and bone		
18-198	New Zealand lamb, mince, frozen, stewed	New Zealand lamb, mince, frozen, stewed		
18-199	New Zealand lamb, shoulder, whole, frozen, roasted, lean	New Zealand lamb, shoulder, whole, frozen, roasted, lean		
18-200	New Zealand lamb, shoulder, whole, frozen, roasted, lean and fat	New Zealand lamb, shoulder, whole, frozen, roasted, lean and fat		
12-897	Non-dairy cream, UHT, canned spray	Non-dairy cream, UHT, canned spray		
11-056	Noodles, egg, boiled	Noodles, egg, boiled	A0694 A0815 B1312 C0155 E0153 F0014 G0015 H0186 H0259 J0001 K0001 M0001 N0001 P0024 R0001	
11-626	Noodles, egg, fried	Noodles, egg, fried		
11-055	Noodles, egg, raw	Noodles, egg, raw	A0694 A0815 B1312 C0155 E0153 F0001 G0003 H0138 H0186 J0116 K0003 M0001 N0001 P0024 R0001	
11-059	Noodles, plain, boiled	Noodles, plain, boiled		
11-058	Noodles, plain, raw	Noodles, plain, raw		
11-060	Noodles, rice, dried	Noodles, rice, dried		
17-592	Nougat	Nougat		
15-215	Nut and rice roast	Nut and rice roast		
15-216	Nut and rice roast, with egg	Nut and rice roast, with egg		
15-217	Nut and seed roast	Nut and seed roast		
15-218	Nut and seed roast, with egg	Nut and seed roast, with egg		
15-219	Nut and vegetable roast	Nut and vegetable roast		
15-220	Nut and vegetable roast, with egg	Nut and vegetable roast, with egg		
15-208	Nut croquettes, fried in sunflower oil	Nut croquettes, fried in sunflower oil		
15-209	Nut croquettes, fried in vegetable oil	Nut croquettes, fried in vegetable oil		
15-210	Nut cutlets, retail, fried in sunflower oil	Nut cutlets, retail, fried in sunflower oil		
15-211	Nut cutlets, retail, fried in vegetable oil	Nut cutlets, retail, fried in vegetable oil		
15-212	Nut cutlets, retail, grilled	Nut cutlets, retail, grilled		
15-374	Nut roast	Nut roast	A0703 A0824 B1213 C0155 E0144 F0014 G0005 H0151 H0319 J0001 K0003 M0001 N0001 P0024 R0001	
15-214	Nut roast, with egg	Nut roast, with egg		
15-221	Nut, mushroom and rice roast	Nut, mushroom and rice roast		
13-840	Nutmeg, ground	Nutmeg, ground	A0722 A0857 B1214 C0132 E0106 F0001 G0003 H0138 J0116 K0003 M0001 N0001 P0024	
11-612	Nutri-Grain	Nutri-Grain	A0692 A0816 B1047 C0155 E0105 F0014 G0003 H0136 H0138 H0162 H0181 H0194 H0216 H0309 H0310 H0311 H0318 H0319 H0322 J0116 K0003 M0347 N0001 P0024 R0001	
11-463	Naan bread	Naan bread	A0691 A0818 B1312 C0155 E0105 F0014 G0005 H0151 H0184 H0212 H0241 H0259 H0263 H0351 H0753 J0001 K0003 M0001 N0001 P0024 R0001	
11-517	Oat based biscuits	Oat based biscuits	A0695 A0821 B1219 C0155 E0140 F0014 G0003 H0136 H0239 H0263 H0319 J0001 K0003 M0001 N0001 P0024 R0001	
11-413	Oat based biscuits, chocolate, half coated	Oat based biscuits, chocolate, half coated		
11-489	Oat Bran Flakes, with raisins	Oat Bran Flakes, with raisins	A0692 B1219 C0155 E0147 F0014 G0003 H0136 H0138 H0181 H0194 H0216 H0274 H0309 H0310 H0311 H0318 H0364 J0116 K0003 M0155 N0001 P0024 R0001	
11-639	Oatcakes, homemade	Oatcakes, homemade		
11-518	Oatcakes, retail	Oatcakes, retail	A0695 A0821 B1219 C0155 E0140 F0014 G0003 H0263 H0367 H0751 J0001 K0003 M0001 N0001 P0024 R0001 Z0112	
11-018	Oatmeal, quick cook, raw	Oatmeal, quick cook, raw	A0696 A0816 B1219 C0155 E0100 F0014 G0003 H0138 J0116 K0003 M0001 N0001 P0024 R0001	
11-017	Oatmeal, raw	Oatmeal, raw		
16-259	Octopus, raw	Octopus, raw	A0717 A0802 B1514 C0103 E0122 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
15-543	Okra with tomatoes and onion, Greek	Okra with tomatoes and onion, Greek		
15-544	Okra with tomatoes and onion, West Indian	Okra with tomatoes and onion, West Indian		
13-301	Okra, boiled in unsalted water	Okra, boiled in unsalted water	A0705 A0826 B1241 C0169 E0150 F0014 G0015 H0003 J0001 K0003 M0001 N0001 P0024 P0078	
13-303	Okra, canned, drained	Okra, canned, drained		
13-300	Okra, raw	Okra, raw	A0705 A0826 B1241 C0169 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
13-302	Okra, stir-fried in corn oil	Okra, stir-fried in corn oil	A0705 A0826 B1241 C0169 E0137 F0014 G0028 H0334 J0001 K0003 M0001 N0001 P0024	
13-009	Old potatoes, average, raw	Old potatoes, average, raw	A0706 A0829 B1218 C0240 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
13-010	Old potatoes, baked, flesh and skin	Old potatoes, baked, flesh and skin	A0706 A0829 B1218 C0239 E0150 F0014 G0005 H0003 J0001 K0003 M0001 N0001 P0024	
13-011	Old potatoes, baked, flesh only	Old potatoes, baked, flesh only	A0706 A0829 B1218 C0240 E0150 F0014 G0005 H0003 J0001 K0003 M0001 N0001 P0024	
13-012	Old potatoes, baked, flesh only, weighed with skin	Old potatoes, baked, flesh only, weighed with skin	A0706 A0829 B1218 C0240 E0150 F0014 G0005 H0003 J0001 K0003 M0001 N0001 P0024	
13-476	Old potatoes, boiled in salted water	Old potatoes, boiled in salted water	A0706 A0829 B1218 C0240 E0150 F0014 G0015 H0003 J0001 K0003 M0001 N0001 P0024	
13-421	Old potatoes, boiled in unsalted water	Old potatoes, boiled in unsalted water	A0706 A0829 B1218 C0240 E0150 F0014 G0015 H0003 J0001 K0003 M0001 N0001 P0024 P0078	
13-017	Old potatoes, Desiree, raw	Old potatoes, Desiree, raw		
13-018	Old potatoes, King Edward, raw	Old potatoes, King Edward, raw		
13-019	Old potatoes, Maris Piper, raw	Old potatoes, Maris Piper, raw		
13-481	Old potatoes, mashed with butter	Old potatoes, mashed with butter	A0706 A0829 B1218 C0240 E0119 F0014 G0015 H0184 H0271 H0306 J0001 K0003 M0001 N0001 P0024 P0078	
13-403	Old potatoes, mashed with hard margarine	Old potatoes, mashed with hard margarine	A0706 A0829 B1218 C0240 E0119 F0014 G0015 H0184 H0272 H0306 J0001 K0003 M0001 N0001 P0024 P0078	
13-480	Old potatoes, mashed with margarine	Old potatoes, mashed with margarine	A0706 A0829 B1218 C0240 E0119 F0014 G0015 H0184 H0272 H0306 J0001 K0003 M0001 N0001 P0024 P0078	
13-405	Old potatoes, mashed with polyunsatd. margarine	Old potatoes, mashed with polyunsatd. margarine	A0706 A0829 B1218 C0240 E0119 F0014 G0015 H0184 H0272 H0306 J0001 K0003 M0001 N0001 P0024 P0078	
13-404	Old potatoes, mashed with soft margarine	Old potatoes, mashed with soft margarine	A0706 A0829 B1218 C0240 E0119 F0014 G0015 H0184 H0272 H0306 J0001 K0003 M0001 N0001 P0024 P0078	
13-020	Old potatoes, Pentland Crown, raw	Old potatoes, Pentland Crown, raw		
50-671	Old potatoes, roast in blended oil	Old potatoes, roast in blended oil	A0706 A0829 B1218 C0240 E0122 F0014 G0005 H0334 J0001 K0003 M0001 N0001 P0024	
13-016	Old potatoes, roast in corn oil	Old potatoes, roast in corn oil	A0706 A0829 B1218 C0240 E0122 F0014 G0005 H0334 J0001 K0003 M0001 N0001 P0024	
50-673	Old potatoes, roast in lard	Old potatoes, roast in lard	A0706 A0829 B1218 C0240 E0122 F0014 G0005 H0335 J0001 K0003 M0001 N0001 P0024	
17-038	Olive oil	Olive oil	A0700 A0806 B1299 C0190 E0139 F0014 G0003 H0197 H0206 J0003 K0003 M0001 N0001 P0024	
14-173	Olives, in brine	Olives, in brine	A0707 A0834 B1169 C0139 E0151 F0014 G0003 H0101 H0206 H0253 J0001 K0018 M0194 M0214 N0001 P0024 Z0051 Z0219	
14-174	Olives, in brine, weighed with stones	Olives, in brine, weighed with stones	A0707 A0834 B1169 C0139 E0151 F0014 G0003 H0101 H0206 H0253 J0001 K0018 M0194 M0214 N0001 P0024 Z0051 Z0219	
12-922	Omelette, cheese	Omelette, cheese	A0718 A0792 B1713 C0225 E0147 F0014 G0026 G0035 H0107 H0117 H0143 H0271 H0335 J0003 K0003 M0001 N0001 P0024 R0001	
12-930	Omelette, curried	Omelette, curried		
12-921	Omelette, plain	Omelette, plain	A0718 A0792 B1713 C0225 E0147 F0014 G0026 G0035 H0117 H0143 H0271 H0335 J0003 K0003 M0001 N0001 P0024 R0001	
12-932	Omelette, Spanish	Omelette, Spanish		
17-526	Onion sauce, made with semi-skimmed milk	Onion sauce, made with semi-skimmed milk	A0721 A0862 B1201 C0235 E0102 F0014 G0020 H0229 H0272 H0319 H0324 H0349 J0001 K0001 M0001 N0001 P0024 R0001	
17-571	Onion sauce, made with skimmed milk	Onion sauce, made with skimmed milk	A0721 A0862 B1201 C0235 E0102 F0014 G0020 H0229 H0272 H0319 H0324 H0349 J0001 K0001 M0001 N0001 P0024 R0001	
17-525	Onion sauce, made with whole milk	Onion sauce, made with whole milk	A0721 A0862 B1201 C0235 E0102 F0014 G0020 H0229 H0272 H0319 H0349 J0001 K0001 M0001 N0001 P0024 R0001	
13-305	Onions, baked	Onions, baked	A0705 A0826 B1300 C0240 E0150 F0014 G0005 H0003 J0001 K0003 M0001 N0001 P0024	
13-306	Onions, boiled in unsalted water	Onions, boiled in unsalted water	A0705 A0826 B1300 C0240 E0150 F0014 G0015 H0003 J0001 K0003 M0001 N0001 P0024 P0078	
13-308	Onions, dried, raw	Onions, dried, raw		
50-794	Onions, fried in blended oil	Onions, fried in blended oil	A0705 A0826 B1300 C0240 E0137 F0014 G0025 H0334 J0001 K0003 M0001 N0001 P0024	
13-417	Onions, fried in butter	Onions, fried in butter	A0705 A0826 B1300 C0240 E0137 F0014 G0025 H0335 J0001 K0003 M0001 N0001 P0024	
13-307	Onions, fried in corn oil	Onions, fried in corn oil	A0705 A0826 B1300 C0240 E0137 F0014 G0025 H0334 J0001 K0003 M0001 N0001 P0024	
13-418	Onions, fried in lard	Onions, fried in lard	A0705 A0826 B1300 C0240 E0137 F0014 G0025 H0335 J0001 K0003 M0001 N0001 P0024	
13-310	Onions, pickled, cocktail/silverskin, drained	Onions, pickled, cocktail/silverskin, drained	A0705 A0827 B1300 C0240 E0137 F0014 G0003 H0190 H0200 J0001 K0011 M0001 N0001 P0024 Z0219	
13-309	Onions, pickled, drained	Onions, pickled, drained	A0705 A0827 B1300 C0240 E0137 F0014 G0003 H0190 H0200 J0001 K0011 M0001 N0001 P0024 Z0219	
13-304	Onions, raw	Onions, raw	A0705 A0826 B1300 C0240 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
14-284	Orange juice concentrate, unsweetened	Orange juice concentrate, unsweetened	A0708 A0841 B1339 C0167 E0102 F0001 G0003 H0138 J0001 K0003 M0001 N0001 P0024	
14-281	Orange juice, freshly squeezed	Orange juice, freshly squeezed		
14-282	Orange juice, freshly squeezed, weighed as whole fruit	Orange juice, freshly squeezed, weighed as whole fruit		
14-301	Orange juice, unsweetened	Orange juice, unsweetened	A0708 A0841 B1339 C0167 E0109 F0001 G0003 H0001 J0001 K0003 M0001 N0001 P0024 P0105	
16-199	Orange roughy, raw	Orange roughy, raw		
14-298	Oranges	Oranges	A0707 A0833 B1339 C0229 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
14-311	Oranges, weighed with peel and pips	Oranges, weighed with peel and pips	A0707 A0833 B1339 C0229 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
13-842	Oregano, dried, ground	Oregano, dried, ground	A0722 A0857 B1542 C0200 E0100 F0001 G0003 H0138 J0116 K0003 M0001 N0001 P0024	
13-841	Oregano, fresh	Oregano, fresh		
12-886	Organic semi-skimmed milk, pasteurised	Organic semi-skimmed milk, pasteurised		
17-129	Oriental mix	Oriental mix		
14-177	Ortaniques	Ortaniques		
17-504	Ovaltine powder	Ovaltine powder	A0709 A0845 B1230 C0228 E0136 F0014 G0003 H0117 H0138 H0159 H0162 H0163 H0169 H0181 H0186 H0215 H0216 H0217 H0231 H0260 H0273 H0309 H0310 H0311 H0316 J0116 K0003 M0001 N0001 P0024 P0033 R0001 Z0089	
17-565	Ovaltine powder, made up with semi-skimmed milk	Ovaltine powder, made up with semi-skimmed milk	A0709 A0845 B1201 C0235 E0123 F0014 G0003 H0117 H0159 H0162 H0163 H0169 H0181 H0186 H0215 H0216 H0217 H0231 H0259 H0260 H0273 H0309 H0310 H0311 H0316 H0325 J0001 K0003 M0001 N0001 P0024 P0033 R0001	
17-566	Ovaltine powder, made up with skimmed milk	Ovaltine powder, made up with skimmed milk	A0709 A0845 B1201 C0235 E0123 F0014 G0003 H0117 H0159 H0162 H0163 H0169 H0181 H0186 H0215 H0216 H0217 H0231 H0248 H0259 H0260 H0273 H0309 H0310 H0311 H0316 J0001 K0003 M0001 N0001 P0024 P0033 R0001	
17-564	Ovaltine powder, made up with whole milk	Ovaltine powder, made up with whole milk	A0709 A0845 B1201 C0235 E0123 F0014 G0003 H0117 H0159 H0162 H0163 H0169 H0181 H0186 H0215 H0216 H0217 H0231 H0259 H0260 H0273 H0309 H0310 H0311 H0316 J0001 K0003 M0001 N0001 P0024 P0033 R0001	
13-030	Oven chips, thick cut, frozen, baked	Oven chips, thick cut, frozen, baked	A0706 A0829 B1218 C0240 E0152 F0014 G0005 H0233 H0241 J0136 K0003 M0001 N0001 P0024 Z0112	
17-272	Oxtail soup, canned	Oxtail soup, canned	A0722 A0865 B1276 C0167 E0130 F0014 G0003 H0117 H0148 H0150 H0152 H0191 H0263 J0123 K0003 M0204 N0001 P0024	
17-273	Oxtail soup, dried	Oxtail soup, dried		
17-274	Oxtail soup, dried, as served	Oxtail soup, dried, as served		
18-419	Oxtail, raw	Oxtail, raw	A0716 A0796 B1161 C0270 E0152 F0003 G0003 H0173 J0001 K0003 M0001 N0001 P0024 Z0155	
18-420	Oxtail, stewed	Oxtail, stewed	A0716 A0796 B1161 C0270 E0152 F0014 G0020 H0173 J0001 K0003 M0001 N0001 P0024 Z0155	
50-494	Oxtail, stewed, weighed with fat and bones	Oxtail, stewed, weighed with fat and bones	A0716 A0796 B1161 C0125 E0152 F0014 G0020 H0173 J0001 K0003 M0001 N0001 P0024 Z0155	
17-321	Oyster sauce	Oyster sauce		
16-260	Oysters, raw	Oysters, raw		
16-261	Oysters, raw, weighed with shells	Oysters, raw, weighed with shells		
15-545	Pakora/bhajia, aubergine, fried in vegetable oil	Pakora/bhajia, aubergine, fried in vegetable oil		
15-546	Pakora/bhajia, cauliflower, fried in vegetable oil	Pakora/bhajia, cauliflower, fried in vegetable oil		
15-547	Pakora/bhajia, onion, fried in vegetable oil	Pakora/bhajia, onion, fried in vegetable oil		
15-227	Pakora/bhajia, onion, retail	Pakora/bhajia, onion, retail		
15-549	Pakora/bhajia, potato and cauliflower, fried in vegetable oil	Pakora/bhajia, potato and cauliflower, fried in vegetable oil		
15-550	Pakora/bhajia, potato, carrot and pea, fried in vegetable oil	Pakora/bhajia, potato, carrot and pea, fried in vegetable oil		
15-548	Pakora/bhajia, potato, fried in vegetable oil	Pakora/bhajia, potato, fried in vegetable oil		
15-551	Pakora/bhajia, spinach, fried in vegetable oil	Pakora/bhajia, spinach, fried in vegetable oil		
15-232	Pakora/bhajia, vegetable, retail	Pakora/bhajia, vegetable, retail	A0705 A0828 B1218 C0240 E0147 F0014 G0001 H0151 H0188 H0212 H0353 J0001 K0003 M0001 N0001 P0024 R0001 Z0112	
11-711	Pakoras	Pakoras		
17-216	Pale ale, bottled	Pale ale, bottled	A0711 A0847 B1230 C0102 E0123 F0014 G0003 H0148 H0246 H0253 H0256 H0753 J0104 K0003 M0214 N0001 P0024	
17-039	Palm oil	Palm oil	A0700 A0806 B1286 C0190 E0139 F0014 G0003 H0197 H0206 J0003 K0003 M0001 N0001 P0024	
50-561	Pancake roll	Pancake roll		
19-249	Pancakes, beef, frozen, shallow-fried	Pancakes, beef, frozen, shallow-fried		
19-250	Pancakes, chicken, frozen, shallow-fried	Pancakes, chicken, frozen, shallow-fried		
11-712	Pancakes, savoury, made with skimmed milk	Pancakes, savoury, made with skimmed milk		
11-604	Pancakes, savoury, made with whole milk	Pancakes, savoury, made with whole milk	A0721 A0822 B1201 C0235 E0140 F0014 G0035 H0186 H0319 J0003 K0003 M0001 N0001 P0024 R0001	
11-714	Pancakes, savoury, wholemeal, made with whole milk	Pancakes, savoury, wholemeal, made with whole milk		
