FOODID	ORIGFDNM	ENGFDNAM	LANGUALCODES	REMARKS
13-053	Beansprouts, mung, boiled in salted water	Beansprouts, mung, boiled in salted water	A0704 A0826 B1395 C0102 E0150 F0014 G0015 H0003 J0001 K0003 M0001 N0001 P0024	
13-055	Beansprouts, mung, canned, drained	Beansprouts, mung, canned, drained		
13-426	Beansprouts, mung, raw	Beansprouts, mung, raw	A0704 A0826 B1395 C0102 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
13-427	Beansprouts, mung, stir-fried in blended oil	Beansprouts, mung, stir-fried in blended oil	A0704 A0826 B1395 C0102 E0150 F0014 G0028 H0334 J0001 K0003 M0001 N0001 P0024	
19-369	Beef and spinach curry	Beef and spinach curry		
19-330	Beef bourguignonne	Beef bourguignonne	A0714 A0799 B1161 C0268 E0110 F0014 G0020 G0025 H0151 H0160 H0166 J0003 K0003 M0003 N0001 P0024 R0001	
19-331	Beef bourguignonne, made with lean beef	Beef bourguignonne, made with lean beef	A0714 A0799 B1161 C0268 E0110 F0014 G0020 G0025 H0151 H0160 H0166 J0003 K0003 M0003 N0001 P0024 R0001	
19-163	Beef casserole, canned	Beef casserole, canned		
19-332	Beef casserole, made with canned cook-in sauce	Beef casserole, made with canned cook-in sauce	A0714 A0799 B1161 C0268 E0108 F0014 G0020 H0117 J0003 K0003 M0001 N0001 P0024 R0001	
19-165	Beef chow mein, retail, reheated	Beef chow mein, retail, reheated	A0714 A0799 B1312 C0155 E0110 F0014 G0020 G0037 H0117 H0191 J0001 K0003 M0001 N0001 P0024 R0001 Z0112	
19-370	Beef curry	Beef curry		
19-168	Beef curry, canned	Beef curry, canned		
19-169	Beef curry, chilled/frozen, reheated	Beef curry, chilled/frozen, reheated	A0714 A0799 B1161 C0268 E0110 F0014 G0037 H0151 H0241 J0142 K0003 M0001 N0001 P0024 R0001	
19-170	Beef curry, chilled/frozen, reheated, with rice	Beef curry, chilled/frozen, reheated, with rice	A0714 A0799 B1161 C0268 E0108 F0014 G0015 G0037 H0151 H0241 H0321 J0142 K0003 M0001 N0001 P0024 R0001	
19-333	Beef curry, reduced fat	Beef curry, reduced fat	A0714 A0799 B1161 C0268 E0110 F0014 G0020 G0026 H0151 H0200 H0349 J0003 K0003 M0003 N0001 P0024 R0001	
19-371	Beef enchiladas	Beef enchiladas		
19-172	Beef in sauce with vegetables, chilled/frozen, reheated	Beef in sauce with vegetables, chilled/frozen, reheated		
19-372	Beef kheema	Beef kheema		
50-543	Beef koftas	Beef koftas		
19-373	Beef olives	Beef olives		
19-051	Beef pie, chilled/frozen, baked	Beef pie, chilled/frozen, baked		
19-076	Beef sausages, chilled, fried	Beef sausages, chilled, fried	A0714 A0798 B1161 C0268 E0147 F0014 G0024 H0221 H0227 J0100 J0131 K0003 M0001 N0001 P0024	
19-077	Beef sausages, chilled, grilled	Beef sausages, chilled, grilled	A0714 A0798 B1161 C0268 E0147 F0014 G0006 H0227 J0100 J0131 K0003 M0001 N0001 P0024	
19-075	Beef sausages, chilled, raw	Beef sausages, chilled, raw	A0714 A0798 B1161 C0268 E0147 F0003 G0003 H0221 H0227 J0100 J0131 K0003 M0001 N0001 P0024	
19-112	Beef slices	Beef slices		
19-358	Beef steak pudding, homemade	Beef steak pudding, homemade		
19-375	Beef stew and dumplings	Beef stew and dumplings		
19-178	Beef stew and dumplings, canned	Beef stew and dumplings, canned		
19-179	Beef stew and dumplings, retail, cooked	Beef stew and dumplings, retail, cooked		
19-334	Beef stew, homemade	Beef stew, homemade	A0714 A0799 B1161 C0268 E0110 F0014 G0020 G0026 H0151 H0212 J0003 K0003 M0003 N0001 P0024 R0001 Z0109	
19-374	Beef stew, made with lean beef, homemade	Beef stew, made with lean beef, homemade		
19-305	Beef stir-fried with green peppers in black bean sauce, takeaway	Beef stir-fried with green peppers in black bean sauce, takeaway		
19-376	Beef Stroganoff	Beef Stroganoff		
19-377	Beef Wellington	Beef Wellington		
18-004	Beef, average, extra trimmed fat, raw	Beef, average, extra trimmed fat, raw		
18-002	Beef, average, extra trimmed lean, raw	Beef, average, extra trimmed lean, raw		
18-005	Beef, average, fat, cooked	Beef, average, fat, cooked	A0714 A0794 B1161 C0253 E0152 F0014 G0001 H0003 J0001 K0003 M0001 N0001 P0024	
18-003	Beef, average, trimmed fat, raw	Beef, average, trimmed fat, raw	A0714 A0794 B1161 C0253 E0152 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
18-468	Beef, average, trimmed lean, raw	Beef, average, trimmed lean, raw	A0714 A0794 B1161 C0270 E0152 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024 Z0019 Z0106	
18-008	Beef, braising steak, braised, lean	Beef, braising steak, braised, lean	A0714 A0794 B1161 C0270 E0152 F0014 G0019 H0003 J0001 K0003 M0001 N0001 P0024 Z0019 Z0106	
18-009	Beef, braising steak, braised, lean and fat	Beef, braising steak, braised, lean and fat	A0714 A0794 B1161 C0269 E0152 F0014 G0019 H0003 J0001 K0003 M0001 N0001 P0024 Z0019	
18-006	Beef, braising steak, raw, lean	Beef, braising steak, raw, lean		
18-007	Beef, braising steak, raw, lean and fat	Beef, braising steak, raw, lean and fat		
18-010	Beef, braising steak, slow cooked, lean	Beef, braising steak, slow cooked, lean		
18-011	Beef, braising steak, slow cooked, lean and fat	Beef, braising steak, slow cooked, lean and fat		
18-014	Beef, brisket, boiled, lean	Beef, brisket, boiled, lean	A0714 A0794 B1161 C0270 E0152 F0014 G0015 H0003 J0001 K0003 M0001 N0001 P0024 Z0019 Z0020 Z0106	
18-015	Beef, brisket, boiled, lean and fat	Beef, brisket, boiled, lean and fat	A0714 A0794 B1161 C0269 E0152 F0014 G0015 H0003 J0001 K0003 M0001 N0001 P0024 Z0019 Z0020	
18-012	Beef, brisket, raw, lean	Beef, brisket, raw, lean	A0714 A0794 B1161 C0270 E0152 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024 Z0019 Z0020 Z0106	
18-013	Beef, brisket, raw, lean and fat	Beef, brisket, raw, lean and fat	A0714 A0794 B1161 C0269 E0152 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024 Z0019 Z0020	
18-018	Beef, fillet steak, fried, lean	Beef, fillet steak, fried, lean		
18-019	Beef, fillet steak, fried, lean and fat	Beef, fillet steak, fried, lean and fat		
18-022	Beef, fillet steak, from steakhouse, lean	Beef, fillet steak, from steakhouse, lean		
18-023	Beef, fillet steak, from steakhouse, lean and fat	Beef, fillet steak, from steakhouse, lean and fat		
18-020	Beef, fillet steak, grilled, lean	Beef, fillet steak, grilled, lean		
18-021	Beef, fillet steak, grilled, lean and fat	Beef, fillet steak, grilled, lean and fat		
18-016	Beef, fillet steak, raw, lean	Beef, fillet steak, raw, lean		
18-017	Beef, fillet steak, raw, lean and fat	Beef, fillet steak, raw, lean and fat		
18-026	Beef, flank, pot-roasted, lean	Beef, flank, pot-roasted, lean		
18-027	Beef, flank, pot-roasted, lean and fat	Beef, flank, pot-roasted, lean and fat		
18-024	Beef, flank, raw, lean	Beef, flank, raw, lean		
18-025	Beef, flank, raw, lean and fat	Beef, flank, raw, lean and fat		
18-030	Beef, fore-rib/rib-roast, microwaved, lean	Beef, fore-rib/rib-roast, microwaved, lean		
18-031	Beef, fore-rib/rib-roast, microwaved, lean and fat	Beef, fore-rib/rib-roast, microwaved, lean and fat		
18-032	Beef, fore-rib/rib-roast, microwaved, lean and fat, weighed with bone	Beef, fore-rib/rib-roast, microwaved, lean and fat, weighed with bone		
18-028	Beef, fore-rib/rib-roast, raw, lean	Beef, fore-rib/rib-roast, raw, lean		
18-029	Beef, fore-rib/rib-roast, raw, lean and fat	Beef, fore-rib/rib-roast, raw, lean and fat	A0714 A0794 B1161 C0269 E0152 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024 Z0019	
18-033	Beef, fore-rib/rib-roast, roasted, lean	Beef, fore-rib/rib-roast, roasted, lean		
18-034	Beef, fore-rib/rib-roast, roasted, lean and fat	Beef, fore-rib/rib-roast, roasted, lean and fat	A0714 A0794 B1161 C0269 E0152 F0014 G0005 H0003 J0001 K0003 M0001 N0001 P0024 Z0019	
18-035	Beef, fore-rib/rib-roast, roasted, lean and fat, weighed with bone	Beef, fore-rib/rib-roast, roasted, lean and fat, weighed with bone		
18-042	Beef, mince patties, barbecued	Beef, mince patties, barbecued		
18-040	Beef, mince, extra lean, raw	Beef, mince, extra lean, raw		
18-041	Beef, mince, extra lean, stewed	Beef, mince, extra lean, stewed	A0714 A0794 B1161 C0268 E0136 F0014 G0019 G0020 H0003 J0001 K0003 M0001 N0001 P0024 Z0019	
18-039	Beef, mince, frozen, stewed	Beef, mince, frozen, stewed		
18-037	Beef, mince, microwaved	Beef, mince, microwaved	A0714 A0794 B1161 C0268 E0136 F0014 G0011 H0003 J0001 K0003 M0001 N0001 P0024 Z0019	
18-469	Beef, mince, raw	Beef, mince, raw	A0714 A0794 B1161 C0268 E0136 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024 Z0019	
18-470	Beef, mince, stewed	Beef, mince, stewed	A0714 A0794 B1161 C0268 E0136 F0014 G0019 G0020 H0003 J0001 K0003 M0001 N0001 P0024 Z0019	
18-045	Beef, rump steak, barbecued, lean	Beef, rump steak, barbecued, lean	A0714 A0794 B1161 C0270 E0152 F0014 G0007 H0003 J0001 K0003 M0001 N0001 P0024 Z0019 Z0106	
18-046	Beef, rump steak, barbecued, lean and fat	Beef, rump steak, barbecued, lean and fat		
18-050	Beef, rump steak, from steakhouse, lean	Beef, rump steak, from steakhouse, lean	A0714 A0794 B1161 C0270 E0152 F0014 G0006 H0003 J0001 K0003 M0001 N0001 P0024 Z0019 Z0106 Z0119	
18-051	Beef, rump steak, from steakhouse, lean and fat	Beef, rump steak, from steakhouse, lean and fat		
